,CO_UF_PROVA,TP_ADM_GERAL,TP_ADM_PUBLICA,TP_ADM_PRIVADA
683,52,169980,129720,7195
684,52,211069,164253,5727
685,52,211069,164253,7765
686,52,211069,164253,7195
687,52,211069,203304,5727
688,52,211069,203304,7765
689,52,211069,203304,7195
690,52,211069,129720,5727
691,52,211069,129720,7765
692,52,211069,129720,7195
693,52,136915,164253,5727
694,52,136915,164253,7765
695,52,136915,164253,7195
696,52,136915,203304,5727
697,52,136915,203304,7765
698,52,136915,203304,7195
699,52,136915,129720,5727
700,52,136915,129720,7765
701,52,136915,129720,7195
702,53,95849,90378,5471
703,53,95849,90378,6845
704,53,95849,90378,6080
705,53,95849,110087,5471
706,53,95849,110087,6845
707,53,95849,110087,6080
708,53,95849,61421,5471
709,53,95849,61421,6845
710,53,95849,61421,6080
711,53,116932,90378,5471
712,53,116932,90378,6845
713,53,116932,90378,6080
714,53,116932,110087,5471
715,53,116932,110087,6845
716,53,116932,110087,6080
717,53,116932,61421,5471
718,53,116932,61421,6845
719,53,116932,61421,6080
720,53,67501,90378,5471
721,53,67501,90378,6845
722,53,67501,90378,6080
723,53,67501,110087,5471
724,53,67501,110087,6845
725,53,67501,110087,6080
726,53,67501,61421,5471
727,53,67501,61421,6845
728,53,67501,61421,6080
